round,agent,price,marketing,market_share,customers,revenue,profit,rationale
0,A,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,undercut cheapest competitor
0,B,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
0,C,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,match market average with noise
1,A,2.4699999999999998,0.0,0.06856245640227447,68.56245640227448,169.34926731361793,32.224354509068974,undercut cheapest competitor
1,B,2.6,0.0,0.06020437969952738,60.20437969952738,156.5313872187712,36.12262781971643,fixed cost-plus markup
1,C,2.592507302861948,0.0,0.06065716706398766,60.65716706398766,157.25414858430523,35.93981445632991,match market average with noise
2,A,2.4628819377188504,0.0,0.06873290054075981,68.73290054075981,169.28101926886356,31.81521818734393,undercut cheapest competitor
2,B,2.6,0.0,0.05992596741316768,59.925967413167676,155.80751527423595,35.9555804479006,fixed cost-plus markup
2,C,2.526233787463192,0.0,0.06451360530113509,64.51360530113509,162.97644946279195,33.949238860521774,match market average with noise
3,A,2.399922098090032,0.0,0.07287194291217033,72.87194291217034,174.8869861256729,29.143100301332225,undercut cheapest competitor
3,B,2.6,0.0,0.05965785305701146,59.657853057011465,155.1104179482298,35.79471183420688,fixed cost-plus markup
3,C,2.5258051782103004,0.0,0.06425249874059111,64.25249874059111,162.2892940319358,33.784296550753595,match market average with noise
4,A,2.399514919299785,0.0,0.0729426295336609,72.9426295336609,175.02692781897647,29.141668751654663,undercut cheapest competitor
4,B,2.6,0.0,0.05969141183380493,59.69141183380493,155.19767076789282,35.81484710028296,fixed cost-plus markup
4,C,2.5350596884412298,0.0,0.06369642676278474,63.69642676278474,161.47424378408468,34.0813902585152,match market average with noise
5,A,2.4083067040191684,0.0,0.07215460014330186,72.15460014330185,173.7704072509363,29.461206964332604,undercut cheapest competitor
5,B,2.6,0.0,0.05956795402103629,59.56795402103629,154.87668045469437,35.74077241262178,fixed cost-plus markup
5,C,2.4933786643668885,0.0,0.06627011761540373,66.27011761540373,165.23649734733198,32.69626211652451,match market average with noise
6,A,2.368709731148544,0.0,0.07452427171148228,74.52427171148229,176.52636760974625,27.477824186781675,undercut cheapest competitor
6,B,2.6,0.0,0.05913568789522237,59.13568789522237,153.75278852757816,35.481412737133425,fixed cost-plus markup
6,C,2.429161300576286,0.0,0.07015263005240083,70.15263005240082,170.41205405693705,30.106793952135405,match market average with noise
7,A,2.307703235547472,0.0,0.07922544947551809,79.22544947551809,182.82882609235585,24.377927141319674,undercut cheapest competitor
7,B,2.6,0.0,0.05914551802468261,59.14551802468261,153.77834686417478,35.48731081480956,fixed cost-plus markup
7,C,2.5008667994743563,0.0,0.06530927187100187,65.30927187100187,163.32978972003306,32.711245978029325,match market average with noise
8,A,2.3758234595006384,0.0,0.07409494391645116,74.09494391645116,176.03650598708876,27.846618154186444,undercut cheapest competitor
8,B,2.6,0.0,0.0592147553273796,59.214755327379606,153.958363851187,35.528853196427775,fixed cost-plus markup
8,C,2.4407314876916995,0.0,0.06943834722160955,69.43834722160955,169.48036051705185,30.603666073832756,match market average with noise
9,A,2.318694913307114,0.0,0.07830429877782423,78.30429877782423,181.56377926622153,24.955181710573072,undercut cheapest competitor
9,B,2.6,0.0,0.05910392979377388,59.10392979377388,153.6702174638121,35.462357876264335,fixed cost-plus markup
9,C,2.4771162486471985,0.0,0.06683194384589879,66.83194384589879,165.55049402935305,31.886606337555463,match market average with noise
10,A,2.3532604362148386,0.0,0.07578403195773602,75.78403195773602,178.33956410298114,26.771500187509105,undercut cheapest competitor
10,B,2.6,0.0,0.05921341059063148,59.21341059063148,153.95486753564185,35.52804635437889,fixed cost-plus markup
10,C,2.465047475762309,0.0,0.06776870910037543,67.76870910037543,167.05308530355066,31.515667102799796,match market average with noise
11,A,2.3417951019741934,0.0,0.07670953923236293,76.70953923236293,179.63802324904472,26.218944784318865,undercut cheapest competitor
11,B,2.6,0.0,0.05925328214360297,59.253282143602966,154.05853357336773,35.55196928616179,fixed cost-plus markup
11,C,2.488136530003842,0.0,0.06626651012852025,66.26651012852025,164.88012456664083,32.347104309600326,match market average with noise
12,A,2.3637297035036497,0.0,0.07536778531518105,75.36778531518105,178.14907283677962,27.41350220641752,undercut cheapest competitor
12,B,2.6,0.0,0.05950793331913878,59.50793331913878,154.72062662976083,35.70475999148327,fixed cost-plus markup
12,C,2.528398237170048,0.0,0.06392505615244706,63.92505615244706,161.6279992868435,33.77788698194938,match market average with noise
