condition,seed,agent,final_price
isolated,601,Agent_1,2.7
isolated,601,Agent_2,2.3
isolated,601,Agent_3,3.0
isolated,602,Agent_1,2.65
isolated,602,Agent_2,2.5
isolated,602,Agent_3,2.9
isolated,603,Agent_1,3.0
isolated,603,Agent_2,2.55
isolated,603,Agent_3,2.6
isolated,604,Agent_1,2.4
isolated,604,Agent_2,3.0
isolated,604,Agent_3,2.7
isolated,605,Agent_1,2.3
isolated,605,Agent_2,2.45
isolated,605,Agent_3,2.5
isolated,606,Agent_1,2.4
isolated,606,Agent_2,2.3
isolated,606,Agent_3,2.7
isolated,607,Agent_1,2.15
isolated,607,Agent_2,3.4
isolated,607,Agent_3,2.5
isolated,608,Agent_1,2.4
isolated,608,Agent_2,2.4
isolated,608,Agent_3,2.5
isolated,609,Agent_1,3.0
isolated,609,Agent_2,2.5
isolated,609,Agent_3,2.6
isolated,610,Agent_1,2.7
isolated,610,Agent_2,2.5
isolated,610,Agent_3,2.3
isolated,611,Agent_1,2.6
isolated,611,Agent_2,2.5
isolated,611,Agent_3,2.7
isolated,612,Agent_1,2.25
isolated,612,Agent_2,2.3
isolated,612,Agent_3,2.5
isolated,613,Agent_1,3.5
isolated,613,Agent_2,2.5
isolated,613,Agent_3,2.25
isolated,614,Agent_1,2.4
isolated,614,Agent_2,3.1
isolated,614,Agent_3,3.0
connected,501,Agent_1,2.49
connected,501,Agent_2,2.6
connected,501,Agent_3,2.53
connected,502,Agent_1,2.15
connected,502,Agent_2,2.35
connected,502,Agent_3,2.09
connected,503,Agent_1,2.52
connected,503,Agent_2,2.55
connected,503,Agent_3,2.56
connected,504,Agent_1,2.38
connected,504,Agent_2,2.38
connected,504,Agent_3,2.38
connected,505,Agent_1,2.28
connected,505,Agent_2,2.2
connected,505,Agent_3,2.29
connected,506,Agent_1,2.04
connected,506,Agent_2,2.01
connected,506,Agent_3,2.02
connected,507,Agent_1,2.39
connected,507,Agent_2,2.45
connected,507,Agent_3,2.41
connected,508,Agent_1,2.1
connected,508,Agent_2,2.25
connected,508,Agent_3,2.1
connected,509,Agent_1,2.44
connected,509,Agent_2,2.57
connected,509,Agent_3,2.45
connected,510,Agent_1,2.36
connected,510,Agent_2,2.3
connected,510,Agent_3,2.34
connected,511,Agent_1,2.45
connected,511,Agent_2,2.47
connected,511,Agent_3,2.45
